"t(s)","ang_vel(rad/s)"
0.000000000E0,-8.641957705E-2
1.000000000E-1,-8.735168342E-2
2.000000000E-1,-7.483482635E-2
3.000000000E-1,-8.202536126E-2
4.000000000E-1,-8.002799045E-2
5.000000000E-1,-6.977482030E-2
6.000000000E-1,-6.817692365E-2
7.000000000E-1,-8.695220926E-2
8.000000000E-1,-1.002680147E-1
9.000000000E-1,-6.617955284E-2
1.000000000E0,-8.322378375E-2
1.100000000E0,-8.016114851E-2
1.200000000E0,-5.326322160E-2
1.300000000E0,-4.727110917E-2
1.400000000E0,2.530003026E-2
1.500000000E0,4.873584776E-2
1.600000000E0,3.861583566E-3
1.700000000E0,-9.321063780E-3
1.800000000E0,-9.720537942E-3
1.900000000E0,6.111954679E-2
2.000000000E0,8.309062570E-2
2.100000000E0,3.169161685E-2
2.200000000E0,-9.507485056E-2
2.300000000E0,-1.253017288E-1
2.400000000E0,-6.085323068E-2
2.500000000E0,5.992112430E-3
2.600000000E0,3.115898464E-2
2.700000000E0,1.664475675E-2
2.800000000E0,-2.889529772E-2
2.900000000E0,-6.631271089E-2
3.000000000E0,-7.523430051E-2
3.100000000E0,-5.632585684E-2
3.200000000E0,-4.380899977E-2
3.300000000E0,-5.006742830E-2
3.400000000E0,-5.566006657E-2
3.500000000E0,-7.297061359E-2
3.600000000E0,-5.739112127E-2
3.700000000E0,5.832322765E-2
3.800000000E0,1.440770144E-1
3.900000000E0,8.282430959E-2
4.000000000E0,-3.661846485E-2
4.100000000E0,-5.246427328E-2
4.200000000E0,-3.062635242E-3
4.300000000E0,1.744370507E-2
4.400000000E0,5.326322160E-2
4.500000000E0,-2.277002723E-2
4.600000000E0,-1.117196073E-1
4.700000000E0,-1.663144094E-1
4.800000000E0,1.597896648E-3
4.900000000E0,1.472728077E-1
5.000000000E0,4.420847393E-2
5.100000000E0,-9.307747975E-2
5.200000000E0,-1.861549595E-1
5.300000000E0,-1.451422789E-1
5.400000000E0,-1.358212151E-2
5.500000000E0,2.530003026E-2
5.600000000E0,3.701793901E-2
5.700000000E0,4.913532193E-2
5.800000000E0,3.115898464E-2
5.900000000E0,5.925533403E-2
6.000000000E0,-1.624528259E-2
6.100000000E0,-5.712480517E-2
6.200000000E0,-8.069378072E-2
6.300000000E0,-2.773682265E-1
6.400000000E0,-3.195793296E-3
6.500000000E0,2.226402663E-1
6.600000000E0,4.141215479E-2
6.700000000E0,-9.867011801E-2
6.800000000E0,-1.328917379E-1
6.900000000E0,-5.699164711E-2
7.000000000E0,2.423476583E-2
7.100000000E0,7.909588408E-2
7.200000000E0,1.106543429E-1
7.300000000E0,5.992112430E-2
7.400000000E0,7.989483240E-3
7.500000000E0,-4.181162896E-2
7.600000000E0,-9.321063780E-2
7.700000000E0,-1.342233184E-1
7.800000000E0,-2.185123666E-1
7.900000000E0,-3.090598433E-1
8.000000000E0,-4.214452409E-1
8.100000000E0,-5.555354013E-1
8.200000000E0,-6.936203033E-1
8.300000000E0,-8.195878224E-1
8.400000000E0,-9.142631988E-1
8.500000000E0,-9.651295754E-1
8.600000000E0,-9.744506392E-1
8.700000000E0,-9.616674660E-1
8.800000000E0,-8.668589315E-1
8.900000000E0,-7.743140840E-1
9.000000000E0,-6.667223764E-1
9.100000000E0,-5.285043163E-1
9.200000000E0,-4.245078762E-1
9.300000000E0,-3.122556366E-1
9.400000000E0,-2.263686918E-1
9.500000000E0,-1.423459597E-1
9.600000000E0,-1.133175040E-1
9.700000000E0,-8.349009986E-2
9.800000000E0,-9.321063780E-2
9.900000000E0,-1.167796134E-1
1.000000000E1,-1.838912726E-1
1.010000000E1,-2.596582053E-1
1.020000000E1,-3.767041348E-1
1.030000000E1,-4.462126390E-1
1.040000000E1,-5.861617537E-1
1.050000000E1,-6.740460693E-1
1.060000000E1,-8.230499318E-1
1.070000000E1,-9.102684571E-1
1.080000000E1,-9.396963871E-1
1.090000000E1,-9.438242868E-1
1.100000000E1,-9.117331957E-1
1.110000000E1,-8.526110198E-1
1.120000000E1,-7.542072179E-1
1.130000000E1,-6.520749904E-1
1.140000000E1,-5.147890368E-1
1.150000000E1,-4.262389309E-1
1.160000000E1,-3.275688128E-1
1.170000000E1,-2.312955398E-1
1.180000000E1,-1.739044185E-1
1.190000000E1,-1.506017591E-1
1.200000000E1,-1.366201634E-1
1.210000000E1,-1.310275251E-1
1.220000000E1,-1.703091511E-1
1.230000000E1,-2.239718468E-1
1.240000000E1,-2.924150866E-1
1.250000000E1,-3.740409737E-1
1.260000000E1,-4.866926874E-1
