"t(s)","ang_vel(rad/s)"
0.000000000E0,-1.382180601E-1
1.000000000E-1,-3.249056518E-2
2.000000000E-1,-8.042746462E-2
3.000000000E-1,-7.776430354E-2
4.000000000E-1,-7.057376862E-3
5.000000000E-1,-2.410160777E-2
6.000000000E-1,-7.829693575E-2
7.000000000E-1,-1.145159264E-1
8.000000000E-1,-1.336906862E-1
9.000000000E-1,-1.069259174E-1
1.000000000E0,-7.696535521E-2
1.100000000E0,-7.789746159E-2
1.200000000E0,-6.404902397E-2
1.300000000E0,-4.394215782E-3
1.400000000E0,1.133175040E-1
1.500000000E0,1.483380722E-1
1.600000000E0,5.233111522E-2
1.700000000E0,-1.426122758E-1
1.800000000E0,-2.764361201E-1
1.900000000E0,-2.697782174E-1
2.000000000E0,-1.364870054E-1
2.100000000E0,-7.763114548E-2
2.200000000E0,-1.299622607E-1
2.300000000E0,-1.820270598E-1
2.400000000E0,-7.723167132E-2
2.500000000E0,1.532649202E-1
2.600000000E0,7.936220018E-2
2.700000000E0,-5.432848603E-2
2.800000000E0,-3.648530680E-2
2.900000000E0,-7.523430051E-2
3.000000000E0,-2.284992207E-1
3.100000000E0,-1.928128622E-1
3.200000000E0,1.167796134E-1
3.300000000E0,1.158475070E-1
3.400000000E0,-6.711165922E-2
3.500000000E0,-9.414274418E-2
3.600000000E0,3.741741317E-2
3.700000000E0,-5.805691154E-2
3.800000000E0,-2.609897858E-1
3.900000000E0,-5.609948815E-1
4.000000000E0,-4.845621585E-1
4.100000000E0,-1.342233184E-1
4.200000000E0,8.109325489E-2
4.300000000E0,8.255799348E-3
4.400000000E0,-2.483397707E-1
4.500000000E0,-4.731105659E-1
4.600000000E0,2.295644851E-1
4.700000000E0,-1.352885829E-1
4.800000000E0,-6.098638873E-2
4.900000000E0,-1.074585496E-1
5.000000000E0,3.781688734E-2
5.100000000E0,3.320961867E-1
5.200000000E0,3.773699250E-1
5.300000000E0,1.287638382E-1
5.400000000E0,-8.122641294E-3
5.500000000E0,-4.024036392E-1
5.600000000E0,-5.820338540E-1
5.700000000E0,-4.809668910E-1
5.800000000E0,-1.719070477E-1
5.900000000E0,2.455434516E-1
6.000000000E0,5.406216992E-1
6.100000000E0,6.707171180E-1
6.200000000E0,5.628590943E-1
6.300000000E0,2.459429257E-1
6.400000000E0,-1.165132973E-1
6.500000000E0,-4.234426117E-1
6.600000000E0,-5.797701671E-1
6.700000000E0,-4.013383748E-1
6.800000000E0,-8.282430959E-2
6.900000000E0,3.034672051E-1
7.000000000E0,5.807022735E-1
7.100000000E0,6.243781152E-1
7.200000000E0,4.913532193E-1
7.300000000E0,1.733717863E-1
7.400000000E0,-2.243713210E-1
7.500000000E0,-4.936169062E-1
7.600000000E0,-5.243764167E-1
7.700000000E0,-3.203782779E-1
